station,R2,MSE,RMSE,MAE,variant
us_embassy_1,0.6070060552760398,174.74960769521994,13.219289228064417,10.322586113565107,no_coords
us_embassy_2,0.6091388008170713,251.19798070873296,15.849226501906424,11.291439619660377,no_coords
bundaran_hi,0.6759736406474783,292.15175315450665,17.0924472546943,13.27594142124495,no_coords
kelapa_gading,0.7475882721641327,133.7434217459438,11.564749099999696,8.43258613865165,no_coords
jagakarsa,0.47803205963599826,177.11803026805057,13.308569805506924,9.122421465244363,no_coords
lubang_buaya,0.4675667589945611,322.7153678273138,17.964280331460923,14.028955502413654,no_coords
kebun_jeruk,0.7133635122091461,272.85216687616986,16.518237402222123,11.808765149905401,no_coords
us_embassy_1,0.6448394775206194,157.92650956923802,12.566881457594722,9.741254927305615,with_coords
us_embassy_2,0.6285921195486719,238.69575640589431,15.449781759167161,11.11848680166637,with_coords
bundaran_hi,0.7579839732640079,218.20881067729647,14.771892589553191,11.066289713956856,with_coords
kelapa_gading,0.7188579025943549,148.96655724456943,12.205185670221057,9.152890133594765,with_coords
jagakarsa,0.540931794539439,155.77442601773805,12.480962543719857,8.312713624493165,with_coords
lubang_buaya,0.4509657439647251,332.77747939184246,18.242189544894067,14.052364207322107,with_coords
kebun_jeruk,0.7073619751650171,278.5650905855652,16.69026933831702,11.38335557141725,with_coords
