,ISPU PM2.5,ISPU PM2.5,ISPU PM2.5,ISPU PM2.5,ISPU PM2.5,ISPU PM2.5,ISPU PM2.5,ISPU PM2.5,AOD,AOD,AOD,AOD,AOD,AOD,AOD,AOD
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
station,,,,,,,,,,,,,,,,
bundaran_hi,895.0,70.168,21.521,0.0,55.575,73.5,86.088,125.167,805.0,0.567,0.36,0.001,0.311,0.507,0.733,2.646
jagakarsa,895.0,71.612,19.45,0.0,62.028,72.611,82.909,137.167,827.0,0.544,0.368,0.003,0.263,0.468,0.739,2.327
jakarta_gbk,370.0,66.495,19.721,25.867,52.827,65.958,78.681,119.125,805.0,0.567,0.36,0.001,0.311,0.507,0.733,2.646
kebun_jeruk,895.0,56.499,37.947,0.0,4.611,68.8,84.95,153.778,804.0,0.568,0.328,0.007,0.334,0.52,0.759,1.948
kelapa_gading,895.0,72.479,20.706,0.0,57.574,75.556,88.25,131.722,850.0,0.552,0.301,0.011,0.336,0.504,0.72,1.873
lubang_buaya,895.0,83.117,30.335,0.0,62.675,84.476,104.28,223.941,818.0,0.535,0.375,0.01,0.272,0.465,0.703,3.501
us_embassy_1,994.0,67.645,19.615,0.72,54.091,69.525,82.394,109.555,826.0,0.529,0.316,0.005,0.3,0.477,0.696,2.464
us_embassy_2,836.0,74.477,20.107,0.298,61.1,76.797,88.563,129.936,811.0,0.536,0.329,0.006,0.301,0.481,0.708,2.154
